"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELDLYPOP","TOT","PC_POP","A","1970",8.34507776188223,
"AUS","ELDLYPOP","TOT","PC_POP","A","1971",8.34430923379912,
"AUS","ELDLYPOP","TOT","PC_POP","A","1972",8.40600003126958,
"AUS","ELDLYPOP","TOT","PC_POP","A","1973",8.50594074377072,
"AUS","ELDLYPOP","TOT","PC_POP","A","1974",8.60741037521322,
"AUS","ELDLYPOP","TOT","PC_POP","A","1975",8.72071140887908,
"AUS","ELDLYPOP","TOT","PC_POP","A","1976",8.92766756955688,
"AUS","ELDLYPOP","TOT","PC_POP","A","1977",9.07244764989078,
"AUS","ELDLYPOP","TOT","PC_POP","A","1978",9.24011726235101,
"AUS","ELDLYPOP","TOT","PC_POP","A","1979",9.43616403971168,
"AUS","ELDLYPOP","TOT","PC_POP","A","1980",9.61716749155311,
"AUS","ELDLYPOP","TOT","PC_POP","A","1981",9.74987368711662,
"AUS","ELDLYPOP","TOT","PC_POP","A","1982",9.87054544094284,
"AUS","ELDLYPOP","TOT","PC_POP","A","1983",9.97669661529251,
"AUS","ELDLYPOP","TOT","PC_POP","A","1984",10.1017170696852,
"AUS","ELDLYPOP","TOT","PC_POP","A","1985",10.2672723974545,
"AUS","ELDLYPOP","TOT","PC_POP","A","1986",10.5011502433147,
"AUS","ELDLYPOP","TOT","PC_POP","A","1987",10.6941740940689,
"AUS","ELDLYPOP","TOT","PC_POP","A","1988",10.8357441893269,
"AUS","ELDLYPOP","TOT","PC_POP","A","1989",10.9816183922177,
"AUS","ELDLYPOP","TOT","PC_POP","A","1990",11.0950295831359,
"AUS","ELDLYPOP","TOT","PC_POP","A","1991",11.2862238889111,
"AUS","ELDLYPOP","TOT","PC_POP","A","1992",11.4531140446608,
"AUS","ELDLYPOP","TOT","PC_POP","A","1993",11.6397524713623,
"AUS","ELDLYPOP","TOT","PC_POP","A","1994",11.7931469141951,
"AUS","ELDLYPOP","TOT","PC_POP","A","1995",11.9038769595935,
"AUS","ELDLYPOP","TOT","PC_POP","A","1996",12.0289000128232,
"AUS","ELDLYPOP","TOT","PC_POP","A","1997",12.1424985467923,
"AUS","ELDLYPOP","TOT","PC_POP","A","1998",12.2450286936767,
"AUS","ELDLYPOP","TOT","PC_POP","A","1999",12.3410239192901,
"AUS","ELDLYPOP","TOT","PC_POP","A","2000",12.424639238981,
"AUS","ELDLYPOP","TOT","PC_POP","A","2001",12.5504930011625,
"AUS","ELDLYPOP","TOT","PC_POP","A","2002",12.6588172171523,
"AUS","ELDLYPOP","TOT","PC_POP","A","2003",12.7466179382647,
"AUS","ELDLYPOP","TOT","PC_POP","A","2004",12.8504275532464,
"AUS","ELDLYPOP","TOT","PC_POP","A","2005",12.9594549078141,
"AUS","ELDLYPOP","TOT","PC_POP","A","2006",13.0265924846777,
"AUS","ELDLYPOP","TOT","PC_POP","A","2007",13.1393300685023,
"AUS","ELDLYPOP","TOT","PC_POP","A","2008",13.201283493086,
"AUS","ELDLYPOP","TOT","PC_POP","A","2009",13.3257064364804,
"AUS","ELDLYPOP","TOT","PC_POP","A","2010",13.556231347941,
"AUS","ELDLYPOP","TOT","PC_POP","A","2011",13.8223262428008,
"AUS","ELDLYPOP","TOT","PC_POP","A","2012",14.1371014053511,
"AUS","ELDLYPOP","TOT","PC_POP","A","2013",14.3996862002975,
"AUS","ELDLYPOP","TOT","PC_POP","A","2014",14.6626087944778,
"AUS","ELDLYPOP","TOT","PC_POP","A","2015",14.924020600441,
"AUS","ELDLYPOP","TOT","PC_POP","A","2016",15.1802948107733,
"AUS","ELDLYPOP","TOT","PC_POP","A","2017",15.4087617765486,
"AUS","ELDLYPOP","TOT","PC_POP","A","2018",15.662746138446,
"AUS","ELDLYPOP","TOT","PC_POP","A","2019",15.927503804836,
"AUS","ELDLYPOP","TOT","PC_POP","A","2020",16.3234836141343,
"AUT","ELDLYPOP","TOT","PC_POP","A","1970",14.075892523536,
"AUT","ELDLYPOP","TOT","PC_POP","A","1971",14.2143531575704,
"AUT","ELDLYPOP","TOT","PC_POP","A","1972",14.3436528268534,
"AUT","ELDLYPOP","TOT","PC_POP","A","1973",14.4739171499509,
"AUT","ELDLYPOP","TOT","PC_POP","A","1974",14.6530916150176,
"AUT","ELDLYPOP","TOT","PC_POP","A","1975",14.871149558188,
"AUT","ELDLYPOP","TOT","PC_POP","A","1976",15.0402648857812,
"AUT","ELDLYPOP","TOT","PC_POP","A","1977",15.191631553704,
"AUT","ELDLYPOP","TOT","PC_POP","A","1978",15.3413807033702,
"AUT","ELDLYPOP","TOT","PC_POP","A","1979",15.4518258013027,
"AUT","ELDLYPOP","TOT","PC_POP","A","1980",15.4041767110192,
"AUT","ELDLYPOP","TOT","PC_POP","A","1981",15.1123771422079,
"AUT","ELDLYPOP","TOT","PC_POP","A","1982",14.736458528625,
"AUT","ELDLYPOP","TOT","PC_POP","A","1983",14.3742387835877,
"AUT","ELDLYPOP","TOT","PC_POP","A","1984",14.1643503070978,
"AUT","ELDLYPOP","TOT","PC_POP","A","1985",14.1945442316864,
"AUT","ELDLYPOP","TOT","PC_POP","A","1986",14.3482240071526,
"AUT","ELDLYPOP","TOT","PC_POP","A","1987",14.5508546605715,
"AUT","ELDLYPOP","TOT","PC_POP","A","1988",14.7431148889361,
"AUT","ELDLYPOP","TOT","PC_POP","A","1989",14.8676971890525,
"AUT","ELDLYPOP","TOT","PC_POP","A","1990",14.934024499046,
"AUT","ELDLYPOP","TOT","PC_POP","A","1991",14.9438593011817,
"AUT","ELDLYPOP","TOT","PC_POP","A","1992",14.9136768116251,
"AUT","ELDLYPOP","TOT","PC_POP","A","1993",14.9258275619204,
"AUT","ELDLYPOP","TOT","PC_POP","A","1994",15.0107269070344,
"AUT","ELDLYPOP","TOT","PC_POP","A","1995",15.1284089459377,
"AUT","ELDLYPOP","TOT","PC_POP","A","1996",15.2309531731058,
"AUT","ELDLYPOP","TOT","PC_POP","A","1997",15.3153453904165,
"AUT","ELDLYPOP","TOT","PC_POP","A","1998",15.3817030887993,
"AUT","ELDLYPOP","TOT","PC_POP","A","1999",15.4109136980575,
"AUT","ELDLYPOP","TOT","PC_POP","A","2000",15.4256982966876,
"AUT","ELDLYPOP","TOT","PC_POP","A","2001",15.4634505358111,
"AUT","ELDLYPOP","TOT","PC_POP","A","2002",15.4641708531708,
"AUT","ELDLYPOP","TOT","PC_POP","A","2003",15.4441754344689,
"AUT","ELDLYPOP","TOT","PC_POP","A","2004",15.7105118942655,
"AUT","ELDLYPOP","TOT","PC_POP","A","2005",16.2227221985688,
"AUT","ELDLYPOP","TOT","PC_POP","A","2006",16.6649814440052,
"AUT","ELDLYPOP","TOT","PC_POP","A","2007",17.0263028364996,
"AUT","ELDLYPOP","TOT","PC_POP","A","2008",17.2622594781423,
"AUT","ELDLYPOP","TOT","PC_POP","A","2009",17.5261641125445,
"AUT","ELDLYPOP","TOT","PC_POP","A","2010",17.6724052869316,
"AUT","ELDLYPOP","TOT","PC_POP","A","2011",17.6895629200525,
"AUT","ELDLYPOP","TOT","PC_POP","A","2012",17.9468927743113,
"AUT","ELDLYPOP","TOT","PC_POP","A","2013",18.1904820324564,
"AUT","ELDLYPOP","TOT","PC_POP","A","2014",18.3989760218129,
"AUT","ELDLYPOP","TOT","PC_POP","A","2015",18.4765454482457,
"AUT","ELDLYPOP","TOT","PC_POP","A","2016",18.4950443980107,
"AUT","ELDLYPOP","TOT","PC_POP","A","2017",18.5994362980273,
"AUT","ELDLYPOP","TOT","PC_POP","A","2018",18.7592098267118,
"AUT","ELDLYPOP","TOT","PC_POP","A","2019",18.9411101174783,
"AUT","ELDLYPOP","TOT","PC_POP","A","2020",19.1522113482964,
"BEL","ELDLYPOP","TOT","PC_POP","A","1970",13.3927844607506,
"BEL","ELDLYPOP","TOT","PC_POP","A","1971",13.4917000252865,
"BEL","ELDLYPOP","TOT","PC_POP","A","1972",13.6093950076793,
"BEL","ELDLYPOP","TOT","PC_POP","A","1973",13.7396051477968,
"BEL","ELDLYPOP","TOT","PC_POP","A","1974",13.8452195055063,
"BEL","ELDLYPOP","TOT","PC_POP","A","1975",13.924903323232,
"BEL","ELDLYPOP","TOT","PC_POP","A","1976",13.9865055079185,
"BEL","ELDLYPOP","TOT","PC_POP","A","1977",14.0482574490166,
"BEL","ELDLYPOP","TOT","PC_POP","A","1978",14.1587802837004,
"BEL","ELDLYPOP","TOT","PC_POP","A","1979",14.2711970352084,
"BEL","ELDLYPOP","TOT","PC_POP","A","1980",14.2596749060754,
"BEL","ELDLYPOP","TOT","PC_POP","A","1981",14.2118324183978,
"BEL","ELDLYPOP","TOT","PC_POP","A","1982",14.0924847785219,
"BEL","ELDLYPOP","TOT","PC_POP","A","1983",13.8199898310805,
"BEL","ELDLYPOP","TOT","PC_POP","A","1984",13.6817970950259,
"BEL","ELDLYPOP","TOT","PC_POP","A","1985",13.825707836912,
"BEL","ELDLYPOP","TOT","PC_POP","A","1986",14.0826991031274,
"BEL","ELDLYPOP","TOT","PC_POP","A","1987",14.2846664020326,
"BEL","ELDLYPOP","TOT","PC_POP","A","1988",14.4859172674495,
"BEL","ELDLYPOP","TOT","PC_POP","A","1989",14.7149485439131,
"BEL","ELDLYPOP","TOT","PC_POP","A","1990",14.922389820071,
"BEL","ELDLYPOP","TOT","PC_POP","A","1991",15.1255446806563,
"BEL","ELDLYPOP","TOT","PC_POP","A","1992",15.3098032735152,
"BEL","ELDLYPOP","TOT","PC_POP","A","1993",15.4776563072817,
"BEL","ELDLYPOP","TOT","PC_POP","A","1994",15.6600680473656,
"BEL","ELDLYPOP","TOT","PC_POP","A","1995",15.8932974403989,
"BEL","ELDLYPOP","TOT","PC_POP","A","1996",16.1406216878198,
"BEL","ELDLYPOP","TOT","PC_POP","A","1997",16.36177929499,
"BEL","ELDLYPOP","TOT","PC_POP","A","1998",16.5443596459555,
"BEL","ELDLYPOP","TOT","PC_POP","A","1999",16.6849705649651,
"BEL","ELDLYPOP","TOT","PC_POP","A","2000",16.8019754084552,
"BEL","ELDLYPOP","TOT","PC_POP","A","2001",16.8964468334492,
"BEL","ELDLYPOP","TOT","PC_POP","A","2002",16.9788526479265,
"BEL","ELDLYPOP","TOT","PC_POP","A","2003",17.0704491944492,
"BEL","ELDLYPOP","TOT","PC_POP","A","2004",17.1748119902126,
"BEL","ELDLYPOP","TOT","PC_POP","A","2005",17.218484080485,
"BEL","ELDLYPOP","TOT","PC_POP","A","2006",17.1553521838733,
"BEL","ELDLYPOP","TOT","PC_POP","A","2007",17.0802095786433,
"BEL","ELDLYPOP","TOT","PC_POP","A","2008",17.0705798033534,
"BEL","ELDLYPOP","TOT","PC_POP","A","2009",17.1209960859531,
"BEL","ELDLYPOP","TOT","PC_POP","A","2010",17.1765289604812,
"BEL","ELDLYPOP","TOT","PC_POP","A","2011",17.3158585855646,
"BEL","ELDLYPOP","TOT","PC_POP","A","2012",17.5446712375453,
"BEL","ELDLYPOP","TOT","PC_POP","A","2013",17.7660686489649,
"BEL","ELDLYPOP","TOT","PC_POP","A","2014",17.998702657602,
"BEL","ELDLYPOP","TOT","PC_POP","A","2015",18.2104349754246,
"BEL","ELDLYPOP","TOT","PC_POP","A","2016",18.404855669361,
"BEL","ELDLYPOP","TOT","PC_POP","A","2017",18.6167144282431,
"BEL","ELDLYPOP","TOT","PC_POP","A","2018",18.8353031549299,
"BEL","ELDLYPOP","TOT","PC_POP","A","2019",19.0619840843104,
"BEL","ELDLYPOP","TOT","PC_POP","A","2020",19.2648904513086,
"CAN","ELDLYPOP","TOT","PC_POP","A","1970",7.89066395383128,
"CAN","ELDLYPOP","TOT","PC_POP","A","1971",8.02480389792711,
"CAN","ELDLYPOP","TOT","PC_POP","A","1972",8.13475261542619,
"CAN","ELDLYPOP","TOT","PC_POP","A","1973",8.24729855715713,
"CAN","ELDLYPOP","TOT","PC_POP","A","1974",8.34994558261632,
"CAN","ELDLYPOP","TOT","PC_POP","A","1975",8.45634422958721,
"CAN","ELDLYPOP","TOT","PC_POP","A","1976",8.62518362623694,
"CAN","ELDLYPOP","TOT","PC_POP","A","1977",8.80655325924563,
"CAN","ELDLYPOP","TOT","PC_POP","A","1978",8.99487852270834,
"CAN","ELDLYPOP","TOT","PC_POP","A","1979",9.21471373892509,
"CAN","ELDLYPOP","TOT","PC_POP","A","1980",9.40520198777378,
"CAN","ELDLYPOP","TOT","PC_POP","A","1981",9.57683779336069,
"CAN","ELDLYPOP","TOT","PC_POP","A","1982",9.72035528847421,
"CAN","ELDLYPOP","TOT","PC_POP","A","1983",9.85112974613595,
"CAN","ELDLYPOP","TOT","PC_POP","A","1984",10.0100819879586,
"CAN","ELDLYPOP","TOT","PC_POP","A","1985",10.2485144792323,
"CAN","ELDLYPOP","TOT","PC_POP","A","1986",10.4848040315892,
"CAN","ELDLYPOP","TOT","PC_POP","A","1987",10.7359505291436,
"CAN","ELDLYPOP","TOT","PC_POP","A","1988",10.931485729542,
"CAN","ELDLYPOP","TOT","PC_POP","A","1989",11.1002430968669,
"CAN","ELDLYPOP","TOT","PC_POP","A","1990",11.2821654350211,
"CAN","ELDLYPOP","TOT","PC_POP","A","1991",11.4578588186788,
"CAN","ELDLYPOP","TOT","PC_POP","A","1992",11.6005547021099,
"CAN","ELDLYPOP","TOT","PC_POP","A","1993",11.7349544866397,
"CAN","ELDLYPOP","TOT","PC_POP","A","1994",11.8427913182537,
"CAN","ELDLYPOP","TOT","PC_POP","A","1995",11.9665646849493,
"CAN","ELDLYPOP","TOT","PC_POP","A","1996",12.0878677759144,
"CAN","ELDLYPOP","TOT","PC_POP","A","1997",12.2194053169624,
"CAN","ELDLYPOP","TOT","PC_POP","A","1998",12.3497019897714,
"CAN","ELDLYPOP","TOT","PC_POP","A","1999",12.4517397060111,
"CAN","ELDLYPOP","TOT","PC_POP","A","2000",12.5506318409241,
"CAN","ELDLYPOP","TOT","PC_POP","A","2001",12.6426014304806,
"CAN","ELDLYPOP","TOT","PC_POP","A","2002",12.2199500836717,
